Banco,Contrato,Origen,Tipo archivo recaudo,Cuenta
"wells fargo bank nevada, n.a.",impuesto predial,p,pagos web,1
"banco internacional, s.a.",impuesto predial,p,pagos web,1
banco itau,estampilla procultura,n,pagos web,1
allied irish banks plc,impuesto predial,p,pagos web,1
banco itau,publicidad exterior visual,n,pagos web,1
banco itau,movilidad,p,pagos web,1
banco itau,movilidad,n,pagos web,1
banco itau,industria y comercio,w,pagos web,1
altra f.c.u.,impuesto predial,n,pagos web,1
american express,impuesto predial,a,pagos web,1
pse - cuentas débito ahorro y,impuesto predial,a,pagos web,1
american express company,impuesto predial,w,pagos web,1
banco itau,circulacion y transito,a,pagos web,1
pse - cuentas débito ahorro y,facilidades,a,pagos web,1
"wells fargo bank, n.a.",facilidades,n,pagos web,1
pse - cuentas débito ahorro y,facilidades,n,pagos web,1
pse - cuentas débito ahorro y,facilidades,p,pagos web,1
redeban multicolor s.a.,delineación urbana,p,pagos web,1
standard chartered bank,impuesto predial,p,pagos web,1
banco de la republica oriental,impuesto predial,n,pagos web,1
banco av villas s.a.,delineación urbana,p,pagos web,1
"banco citibank de el salvador,",impuesto predial,p,pagos web,1
"banco citibank de costa rica,",impuesto predial,p,pagos web,1
"banco citibank (panama), s.a.",impuesto predial,p,pagos web,1
"tarjetas banamex, sa de cv, so",impuesto predial,n,pagos web,1
banco caminos s.a.,impuesto predial,p,pagos web,1
tamara bank,impuesto predial,p,pagos web,1
banco av villas s.a.,impuesto telefonico,p,pagos web,1
synchrony bank,facilidades,n,pagos web,1
banco caja social,movilidad,n,pagos web,1
banco azteca s.a. institucion,servicios,n,pagos web,1
banco caja social,impuesto telefonico,n,pagos web,1
banco caja social,estampilla procultura,p,pagos web,1
swiss post,impuesto predial,n,pagos web,1
"banco bac san jose, s.a.",facilidades,p,pagos web,1
scotiabank colpatria s.a.,movilidad,n,pagos web,1
"banco citibank de guatemala, s",impuesto predial,p,pagos web,1
banco av villas s.a.,delineación urbana,a,pagos web,1
the saudi national bank,impuesto predial,p,pagos web,1
banco colpatria,impuesto predial,w,pagos web,1
banco cooperativo coopcentral,aprov.esp.pub,n,pagos web,1
tenpo prepago s.a.,impuesto predial,p,pagos web,1
"teller, a.s.",industria y comercio,n,pagos web,1
banco coomeva s.a.,facilidades,n,pagos web,1
banco coomeva s.a.,alumbrado publico,n,pagos web,1
banco continental,impuesto predial,p,pagos web,1
banco colpatria pricesmart,delineación urbana,p,pagos web,1
"td bank, n.a.",industria y comercio,p,pagos web,1
banco colpatria pricesmart,circulacion y transito,n,pagos web,1
banco colpatria pricesmart,alumbrado publico,n,pagos web,1
scotiabank colpatria s.a.,alumbrado publico,n,pagos web,1
banco colpatria,retencion ica,n,pagos web,1
"td bank, n.a.",facilidades,n,pagos web,1
banco colpatria,impuesto telefonico,n,pagos web,1
scotiabank colpatria s.a.,aprov.esp.pub,p,pagos web,1
banco caja social,alumbrado publico,a,pagos web,1
"banco bradesco cartoes, s.a.",impuesto predial,n,pagos web,1
svenska handelsbanken ab,impuesto predial,n,pagos web,1
scotiabank colpatria s.a.,servicios,n,pagos web,1
servicios financieros carrefou,facilidades,p,pagos web,1
servicios financieros carrefou,impuesto predial,a,pagos web,1
state employees' c.u.,impuesto predial,p,pagos web,1
state employees' c.u.,impuesto predial,n,pagos web,1
state employees' c.u.,impuesto predial,a,pagos web,1
servicios financieros carrefou,servicios,n,pagos web,1
shinhan card co. ltd.,impuesto predial,p,pagos web,1
"silverton bank, n.a.",impuesto predial,n,pagos web,1
sistemas internacionales s.a.,impuesto predial,n,pagos web,1
"banco bhd, s.a., banco mzltipl",impuesto predial,n,pagos web,1
societe generale,servicios,n,pagos web,1
state department f.c.u.,impuesto predial,p,pagos web,1
banco bbva colombia s.a.,sobretasa a la gasolina,p,pagos web,1
banco bbva colombia s.a.,ingresos no tributarios,n,pagos web,1
banco bbva colombia s.a.,impuesto telefonico,n,pagos web,1
servibanca s.a.,ingresos no tributarios,p,pagos web,1
banco bilbao vizcaya argentari,circulacion y transito,a,pagos web,1
banco bilbao vizcaya argentari,delineación urbana,p,pagos web,1
sunstate f.c.u.,impuesto predial,p,pagos web,1
scotiabank de costa rica s.a.,impuesto predial,p,pagos web,1
banco bpm societa per azioni,industria y comercio,n,pagos web,1
"suntrust banks, inc.",impuesto predial,p,pagos web,1
scotiabank peru s.a.a.,servicios,n,pagos web,1
seacoast national bank,impuesto predial,n,pagos web,1
banco bogota,publicidad exterior visual,p,pagos web,1
banco bogota,delineación urbana,a,pagos web,1
servibanca s.a.,impuesto predial,a,pagos web,1
banco bogota,circulacion y transito,a,pagos web,1
serfinansa,facilidades,p,pagos web,1
suncoast schools f.c.u.,industria y comercio,n,pagos web,1
banco bbva colombia,alumbrado publico,p,pagos web,1
suncoast schools f.c.u.,impuesto predial,n,pagos web,1
serfinansa,industria y comercio,p,pagos web,1
banco cooperativo coopcentral,circulacion y transito,n,pagos web,1
banco cooperativo coopcentral,delineación urbana,n,pagos web,1
banco de la produccion s.a. (p,rentas contractuales,n,pagos web,1
banco agrario,circulacion y transito,a,pagos web,1
banco agrario,circulacion y transito,n,pagos web,1
banco de bogotá s.a.,delineación urbana,n,pagos web,1
ripley visa,industria y comercio,n,pagos web,1
ripley visa,otros ingresos,p,pagos web,1
banco agrario,delineación urbana,a,pagos web,1
ripley visa,recursos fonset,p,pagos web,1
rogers bank,impuesto predial,p,pagos web,1
royal bank of canada,facilidades,n,pagos web,1
banco de bogotá s.a.,aprov.esp.pub,n,pagos web,1
banco agrario,facilidades,n,pagos web,1
banco de bogota s.a.,industria y comercio,a,pagos web,1
san diego county c.u.,industria y comercio,p,pagos web,1
banco de bogota s.a.,facilidades,a,pagos web,1
"santander bank, na",impuesto predial,p,pagos web,1
banco de bogota s.a.,circulacion y transito,n,pagos web,1
ripley visa,impuesto telefonico,p,pagos web,1
banco de bogotá s.a.,movilidad,p,pagos web,1
banco av villas,movilidad,n,pagos web,1
"banca afirme, s.a.",impuesto predial,p,pagos web,1
"banco de guayaquil, s.a.",industria y comercio,p,pagos web,1
banco de guayaquil,impuesto predial,p,pagos web,1
banco de credito e inversiones,impuesto predial,n,pagos web,1
banco de credito del peru,industria y comercio,n,pagos web,1
regions bank,industria y comercio,p,pagos web,1
revolut issued by wirecard car,impuesto predial,p,pagos web,1
revolut ltd,alumbrado publico,p,pagos web,1
banco bbva colombia s.a.,delineación urbana,n,pagos web,1
revolut ltd,facilidades,p,pagos web,1
banco de credito del peru,facilidades,n,pagos web,1
banco de costa rica,facilidades,p,pagos web,1
ripley visa,alumbrado publico,n,pagos web,1
banco de chile,servicios,n,pagos web,1
bac international bank,impuesto predial,p,pagos web,1
ban100,industria y comercio,p,pagos web,1
banco agrario,publicidad exterior visual,n,pagos web,1
banco de bogota s.a.,alumbrado publico,p,pagos web,1
"santander consumo, s.a. de c.v",servicios,n,pagos web,1
banco de bogota,servicios,p,pagos web,1
banco davivienda s.a.,delineación urbana,p,pagos web,1
banco davivienda s.a.,alumbrado publico,p,pagos web,1
banco davivienda costa rica s.,impuesto predial,p,pagos web,1
tuily sas,industria y comercio,n,pagos web,1
banco pichincha s.a.,retencion ica,p,pagos web,1
"triplink international co.,lim",impuesto predial,p,pagos web,1
banco davivienda,estampilla procultura,n,pagos web,1
scotiabank colpatria,impuesto telefonico,n,pagos web,1
banco credifinanciera,impuesto predial,p,pagos web,1
travellers cheque,impuesto predial,p,pagos web,1
toronto-dominion bank the,impuesto predial,p,pagos web,1
"banco cooperativo espanol, s.a",impuesto predial,p,pagos web,1
banco cooperativo coopcentral,servicios,p,pagos web,1
banco cooperativo coopcentral,publicidad exterior visual,p,pagos web,1
scotiabank colpatria,movilidad,n,pagos web,1
banco davivienda s.a.,industria y comercio,n,pagos web,1
tuily sas,industria y comercio,p,pagos web,1
banco av villas,estampilla procultura,n,pagos web,1
"banco davivienda, s.a.",publicidad exterior visual,n,pagos web,1
saudi british bank,facilidades,p,pagos web,1
banco de bogota,estampilla procultura,n,pagos web,1
"banco davivienda, s.a.",retencion ica,n,pagos web,1
scotiabank caribbean holding l,impuesto predial,n,pagos web,1
scotiabank caribbean holding l,impuesto predial,p,pagos web,1
scotiabank colpatria,alumbrado publico,a,pagos web,1
"banco davivienda, s.a.",movilidad,p,pagos web,1
banco av villas,aprov.esp.pub,p,pagos web,1
"banco davivienda, s.a.",movilidad,n,pagos web,1
"banco davivienda, s.a.",ingresos no tributarios,p,pagos web,1
"banco davivienda, s.a.",industria y comercio,w,pagos web,1
banco av villas,aprov.esp.pub,n,pagos web,1
"banco davivienda, s.a.",circulacion y transito,a,pagos web,1
banco davivienda s.a.,rentas contractuales,p,pagos web,1
banco davivienda,rentas contractuales,a,pagos web,1
bancolombia,aportes voluntarios,presencial,pagos presencial,1
"pnc bank, n.a.",impuesto predial,n,pagos web,1
banco popular,delineación urbana,n,pagos web,1
huntington national bank,impuesto predial,p,pagos web,1
ibercaja (caja de ahorros y mo,impuesto predial,p,pagos web,1
iberia cards,impuesto predial,n,pagos web,1
iberia cards,impuesto predial,p,pagos web,1
colpatria,estampilla procultura,presencial,pagos presencial,1
ing bank n.v.,impuesto predial,a,pagos web,1
ing bank n.v.,servicios,n,pagos web,1
clara,retencion ica,p,pagos web,1
inteligencia en finanzas sapi,servicios,n,pagos web,1
interbank - banco internaciona,impuesto predial,p,pagos web,1
clara,impuesto predial,p,pagos web,1
intesa sanpaolo s.p.a.,impuesto predial,n,pagos web,1
intesa sanpaolo spa,impuesto predial,p,pagos web,1
inversora pichincha,alumbrado publico,p,pagos web,1
inversora pichincha,facilidades,a,pagos web,1
citigroup pty limited,impuesto predial,p,pagos web,1
citibank privatkunden ag and c,facilidades,p,pagos web,1
iris,alumbrado publico,n,pagos web,1
citibank n.a.,industria y comercio,n,pagos web,1
colpatria,recursos fonset,presencial,pagos presencial,1
coltefinanciera,circulacion y transito,p,pagos web,1
coltefinanciera,retencion ica,n,pagos web,1
compania de financiamiento tuy,industria y comercio,w,pagos web,1
hsbc,impuesto telefonico,p,pagos web,1
confiar cooperativa financiera,alumbrado publico,n,pagos web,1
confiar,sobretasa a la gasolina,presencial,pagos presencial,1
compania de financiamiento tuy,servicios,n,pagos web,1
hsbc bank,industria y comercio,p,pagos web,1
compania de financiamiento tuy,rentas contractuales,n,pagos web,1
"hsbc bank (panama), s.a.",facilidades,p,pagos web,1
"hsbc bank (panama), s.a.",impuesto predial,a,pagos web,1
compania de financiamiento tuy,delineación urbana,a,pagos web,1
columbia state bank,industria y comercio,n,pagos web,1
hsbc bank a.s.,impuesto predial,n,pagos web,1
hsbc bank a.s.,impuesto predial,p,pagos web,1
compania de financiamiento tuy,circulacion y transito,n,pagos web,1
commerzbank ag,impuesto predial,p,pagos web,1
hsbc bank middle east,impuesto predial,n,pagos web,1
comdirect bank ag,impuesto predial,p,pagos web,1
hsbc bank nevada n.a.,impuesto predial,p,pagos web,1
"hsbc bank nevada, n.a.",impuesto predial,n,pagos web,1
iris,impuesto predial,n,pagos web,1
citibank n.a.,delineación urbana,p,pagos web,1
iris,retencion ica,n,pagos web,1
itaú,circulacion y transito,a,pagos web,1
"itau corpbanca colombia, s.a.",ingresos no tributarios,p,pagos web,1
"itau corpbanca colombia, s.a.",movilidad,p,pagos web,1
cfa cooperativa financiera,retencion ica,n,pagos web,1
cfa cooperativa financiera,alumbrado publico,p,pagos web,1
cfa,servicios,presencial,pagos presencial,1
cfa,rentas contractuales,presencial,pagos presencial,1
cfa,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,1
itaú,aprov.esp.pub,n,pagos web,1
cfa,delineación urbana,presencial,pagos presencial,1
"itau corpbanca colombia, s.a.",industria y comercio,a,pagos web,1
cf tech sa de cv,industria y comercio,p,pagos web,1
cf tech sa de cv,aprov.esp.pub,p,pagos web,1
cf tech colombia sas,retencion ica,p,pagos web,1
cf tech colombia sas,rentas contractuales,n,pagos web,1
cf tech colombia sas,aprov.esp.pub,p,pagos web,1
"ceska sporitelna, a.s (czech s",impuesto predial,p,pagos web,1
itaú,impuesto telefonico,p,pagos web,1
cat administradora de tarjetas,servicios,n,pagos web,1
chase bank usa,impuesto predial,p,pagos web,1
"itau corpbanca colombia, s.a.",impuesto telefonico,p,pagos web,1
iris,retencion ica,p,pagos web,1
choice financial group,industria y comercio,n,pagos web,1
itau corpbanca,impuesto predial,p,pagos web,1
itau corpbanca colombia s.a.,alumbrado publico,p,pagos web,1
citibank,servicios,p,pagos web,1
itau corpbanca colombia s.a.,facilidades,p,pagos web,1
citibank,rentas contractuales,n,pagos web,1
citibank,alumbrado publico,a,pagos web,1
itau corpbanca colombia s.a.,ingresos no tributarios,p,pagos web,1
itau corpbanca colombia s.a.,movilidad,p,pagos web,1
china merchants bank,impuesto predial,p,pagos web,1
"itau corpbanca colombia, s.a.",impuesto telefonico,n,pagos web,1
china citic bank,impuesto predial,p,pagos web,1
china citic bank,impuesto predial,n,pagos web,1
chase manhattan bank usa n.a.,impuesto predial,p,pagos web,1
"chase bank usa, n.a.",servicios,n,pagos web,1
"chase bank usa, n.a.",industria y comercio,n,pagos web,1
"chase bank usa, n.a.",industria y comercio,a,pagos web,1
chase bank usa n.a.,impuesto predial,a,pagos web,1
"itau corpbanca colombia, s.a.",impuesto predial,w,pagos web,1
confiar cooperativa financiera,impuesto predial,w,pagos web,1
confiar cooperativa financiera,ingresos no tributarios,p,pagos web,1
confiar cooperativa financiera,movilidad,n,pagos web,1
daviplata,otros ingresos,n,pagos web,1
davivienda s.a.,industria y comercio,n,pagos web,1
davivienda,exogena reteica,presencial,pagos presencial,1
finandina,alumbrado publico,p,pagos web,1
finandina,circulacion y transito,a,pagos web,1
finandina,circulacion y transito,n,pagos web,1
davivienda,estampilla procultura,presencial,pagos presencial,1
davivienda,aportes voluntarios,presencial,pagos presencial,1
daviplata,rentas contractuales,n,pagos web,1
daviplata,ingresos no tributarios,p,pagos web,1
davivienda s.a.,industria y comercio,p,pagos web,1
daviplata,impuesto predial,w,pagos web,1
daviplata,aprov.esp.pub,a,pagos web,1
dale,impuesto predial,a,pagos web,1
first abu dhabi bank pjsc,industria y comercio,p,pagos web,1
first bank and trust,industria y comercio,p,pagos web,1
"credomatic de panama, s.a.",impuesto predial,n,pagos web,1
first community credit union o,impuesto predial,a,pagos web,1
first national bank in sioux f,impuesto predial,p,pagos web,1
financiera el corte ingles efc,impuesto predial,p,pagos web,1
delta community c.u.,impuesto predial,n,pagos web,1
first technology federal credi,impuesto predial,p,pagos web,1
distribuidora liverpool s.a. d,facilidades,p,pagos web,1
europay belgium s.c.r.l.,impuesto predial,n,pagos web,1
emirates nbd,impuesto predial,p,pagos web,1
econstar sa,impuesto predial,p,pagos web,1
eaglebank,industria y comercio,p,pagos web,1
eaglebank,alumbrado publico,p,pagos web,1
dnb bank asa,impuesto predial,n,pagos web,1
falabella,otros ingresos,p,pagos web,1
falabella,retencion ica,p,pagos web,1
